+--------+-----------+---------------------------------------------------------------+--------------------------------------------+----------------------------------------------------------------------------+----------------+
| Domain | Method    | URI                                                           | Name                                       | Action                                                                     | Middleware     |
+--------+-----------+---------------------------------------------------------------+--------------------------------------------+----------------------------------------------------------------------------+----------------+
|        | GET|HEAD  | /                                                             |                                            | Closure                                                                    | web            |
|        | GET|HEAD  | admin                                                         | voyager.dashboard                          | \App\Http\Controllers\Voyager\VoyagerController@index                      | web,admin.user |
|        | GET|HEAD  | admin/categories                                              | voyager.categories.index                   | \App\Http\Controllers\Voyager\VoyagerBreadController@index                 | web,admin.user |
|        | POST      | admin/categories                                              | voyager.categories.store                   | \App\Http\Controllers\Voyager\VoyagerBreadController@store                 | web,admin.user |
|        | GET|HEAD  | admin/categories/create                                       | voyager.categories.create                  | \App\Http\Controllers\Voyager\VoyagerBreadController@create                | web,admin.user |
|        | GET|HEAD  | admin/categories/{category}                                   | voyager.categories.show                    | \App\Http\Controllers\Voyager\VoyagerBreadController@show                  | web,admin.user |
|        | DELETE    | admin/categories/{category}                                   | voyager.categories.destroy                 | \App\Http\Controllers\Voyager\VoyagerBreadController@destroy               | web,admin.user |
|        | PUT|PATCH | admin/categories/{category}                                   | voyager.categories.update                  | \App\Http\Controllers\Voyager\VoyagerBreadController@update                | web,admin.user |
|        | GET|HEAD  | admin/categories/{category}/edit                              | voyager.categories.edit                    | \App\Http\Controllers\Voyager\VoyagerBreadController@edit                  | web,admin.user |
|        | GET|HEAD  | admin/compass                                                 | voyager.compass.index                      | \App\Http\Controllers\Voyager\VoyagerCompassController@index               | web,admin.user |
|        | POST      | admin/compass                                                 | voyager.compass.post                       | \App\Http\Controllers\Voyager\VoyagerCompassController@index               | web,admin.user |
|        | POST      | admin/database                                                | voyager.database.store                     | \App\Http\Controllers\Voyager\VoyagerDatabaseController@store              | web,admin.user |
|        | GET|HEAD  | admin/database                                                | voyager.database.index                     | \App\Http\Controllers\Voyager\VoyagerDatabaseController@index              | web,admin.user |
|        | POST      | admin/database/bread                                          | voyager.database.bread.store               | \App\Http\Controllers\Voyager\VoyagerDatabaseController@storeBread         | web,admin.user |
|        | GET|HEAD  | admin/database/bread/delete_relationship/{id}                 | voyager.database.bread.delete_relationship | \App\Http\Controllers\Voyager\VoyagerDatabaseController@deleteRelationship | web,admin.user |
|        | POST      | admin/database/bread/relationship                             | voyager.database.bread.relationship        | \App\Http\Controllers\Voyager\VoyagerDatabaseController@addRelationship    | web,admin.user |
|        | PUT       | admin/database/bread/{id}                                     | voyager.database.bread.update              | \App\Http\Controllers\Voyager\VoyagerDatabaseController@updateBread        | web,admin.user |
|        | DELETE    | admin/database/bread/{id}                                     | voyager.database.bread.delete              | \App\Http\Controllers\Voyager\VoyagerDatabaseController@deleteBread        | web,admin.user |
|        | GET|HEAD  | admin/database/create                                         | voyager.database.create                    | \App\Http\Controllers\Voyager\VoyagerDatabaseController@create             | web,admin.user |
|        | DELETE    | admin/database/{database}                                     | voyager.database.destroy                   | \App\Http\Controllers\Voyager\VoyagerDatabaseController@destroy            | web,admin.user |
|        | GET|HEAD  | admin/database/{database}                                     | voyager.database.show                      | \App\Http\Controllers\Voyager\VoyagerDatabaseController@show               | web,admin.user |
|        | PUT|PATCH | admin/database/{database}                                     | voyager.database.update                    | \App\Http\Controllers\Voyager\VoyagerDatabaseController@update             | web,admin.user |
|        | GET|HEAD  | admin/database/{database}/edit                                | voyager.database.edit                      | \App\Http\Controllers\Voyager\VoyagerDatabaseController@edit               | web,admin.user |
|        | GET|HEAD  | admin/database/{table}/bread/create                           | voyager.database.bread.create              | \App\Http\Controllers\Voyager\VoyagerDatabaseController@addBread           | web,admin.user |
|        | GET|HEAD  | admin/database/{table}/bread/edit                             | voyager.database.bread.edit                | \App\Http\Controllers\Voyager\VoyagerDatabaseController@addEditBread       | web,admin.user |
|        | GET|HEAD  | admin/hooks                                                   | voyager.hooks                              | \Larapack\VoyagerHooks\Controllers\HooksController@index                   | web,admin.user |
|        | POST      | admin/hooks                                                   | voyager.hooks.install                      | \Larapack\VoyagerHooks\Controllers\HooksController@install                 | web,admin.user |
|        | DELETE    | admin/hooks/{name}                                            | voyager.hooks.uninstall                    | \Larapack\VoyagerHooks\Controllers\HooksController@uninstall               | web,admin.user |
|        | GET|HEAD  | admin/hooks/{name}/disable                                    | voyager.hooks.disable                      | \Larapack\VoyagerHooks\Controllers\HooksController@disable                 | web,admin.user |
|        | GET|HEAD  | admin/hooks/{name}/enable                                     | voyager.hooks.enable                       | \Larapack\VoyagerHooks\Controllers\HooksController@enable                  | web,admin.user |
|        | GET|HEAD  | admin/hooks/{name}/update                                     | voyager.hooks.update                       | \Larapack\VoyagerHooks\Controllers\HooksController@update                  | web,admin.user |
|        | POST      | admin/login                                                   | voyager.postlogin                          | \App\Http\Controllers\Voyager\VoyagerAuthController@postLogin              | web            |
|        | GET|HEAD  | admin/login                                                   | voyager.login                              | \App\Http\Controllers\Voyager\VoyagerAuthController@login                  | web            |
|        | POST      | admin/logout                                                  | voyager.logout                             | \App\Http\Controllers\Voyager\VoyagerController@logout                     | web,admin.user |
|        | GET|HEAD  | admin/media                                                   | voyager.media.index                        | \App\Http\Controllers\Voyager\VoyagerMediaController@index                 | web,admin.user |
|        | POST      | admin/media/crop                                              | voyager.media.crop                         | \App\Http\Controllers\Voyager\VoyagerMediaController@crop                  | web,admin.user |
|        | POST      | admin/media/delete_file_folder                                | voyager.media.delete_file_folder           | \App\Http\Controllers\Voyager\VoyagerMediaController@delete_file_folder    | web,admin.user |
|        | POST      | admin/media/directories                                       | voyager.media.get_all_dirs                 | \App\Http\Controllers\Voyager\VoyagerMediaController@get_all_dirs          | web,admin.user |
|        | POST      | admin/media/files                                             | voyager.media.files                        | \App\Http\Controllers\Voyager\VoyagerMediaController@files                 | web,admin.user |
|        | POST      | admin/media/move_file                                         | voyager.media.move_file                    | \App\Http\Controllers\Voyager\VoyagerMediaController@move_file             | web,admin.user |
|        | POST      | admin/media/new_folder                                        | voyager.media.new_folder                   | \App\Http\Controllers\Voyager\VoyagerMediaController@new_folder            | web,admin.user |
